"day_of_week";"hour_of_day";"count_of_accidents_hourly"
"Monday";0;801
"Monday";1;538
"Monday";2;392
"Monday";3;335
"Monday";4;329
"Monday";5;633
"Monday";6;1536
"Monday";7;3528
"Monday";8;5261
"Monday";9;3419
"Monday";10;2957
"Monday";11;3301
"Monday";12;3673
"Monday";13;3849
"Monday";14;4171
"Monday";15;5585
"Monday";16;5831
"Monday";17;6224
"Monday";18;4839
"Monday";19;3418
"Monday";20;2344
"Monday";21;1851
"Monday";22;1580
"Monday";23;1066
"Tuesday";0;610
"Tuesday";1;437
"Tuesday";2;336
"Tuesday";3;268
"Tuesday";4;316
"Tuesday";5;579
"Tuesday";6;1667
"Tuesday";7;3845
"Tuesday";8;6040
"Tuesday";9;3656
"Tuesday";10;3038
"Tuesday";11;3376
"Tuesday";12;3575
"Tuesday";13;3870
"Tuesday";14;4180
"Tuesday";15;5774
"Tuesday";16;6105
"Tuesday";17;6738
"Tuesday";18;5240
"Tuesday";19;3669
"Tuesday";20;2565
"Tuesday";21;1951
"Tuesday";22;1660
"Tuesday";23;1084
"Wednesday";0;696
"Wednesday";1;440
"Wednesday";2;337
"Wednesday";3;301
"Wednesday";4;345
"Wednesday";5;664
"Wednesday";6;1640
"Wednesday";7;3916
"Wednesday";8;6015
"Wednesday";9;3559
"Wednesday";10;3032
"Wednesday";11;3315
"Wednesday";12;3842
"Wednesday";13;3835
"Wednesday";14;4317
"Wednesday";15;6051
"Wednesday";16;6085
"Wednesday";17;6834
"Wednesday";18;5425
"Wednesday";19;3853
"Wednesday";20;2596
"Wednesday";21;2094
"Wednesday";22;1832
"Wednesday";23;1251
"Thursday";0;781
"Thursday";1;523
"Thursday";2;368
"Thursday";3;318
"Thursday";4;306
"Thursday";5;661
"Thursday";6;1684
"Thursday";7;3813
"Thursday";8;5976
"Thursday";9;3556
"Thursday";10;3184
"Thursday";11;3454
"Thursday";12;3846
"Thursday";13;3996
"Thursday";14;4251
"Thursday";15;6097
"Thursday";16;6292
"Thursday";17;6865
"Thursday";18;5556
"Thursday";19;3973
"Thursday";20;2861
"Thursday";21;2237
"Thursday";22;1932
"Thursday";23;1375
"Friday";0;930
"Friday";1;571
"Friday";2;428
"Friday";3;390
"Friday";4;378
"Friday";5;703
"Friday";6;1484
"Friday";7;3421
"Friday";8;5332
"Friday";9;3447
"Friday";10;3246
"Friday";11;3768
"Friday";12;4454
"Friday";13;4706
"Friday";14;5174
"Friday";15;6691
"Friday";16;6675
"Friday";17;6857
"Friday";18;5826
"Friday";19;4557
"Friday";20;3383
"Friday";21;2778
"Friday";22;2442
"Friday";23;2171
"Saturday";0;1645
"Saturday";1;1283
"Saturday";2;921
"Saturday";3;733
"Saturday";4;668
"Saturday";5;659
"Saturday";6;819
"Saturday";7;1287
"Saturday";8;1781
"Saturday";9;2422
"Saturday";10;3347
"Saturday";11;4182
"Saturday";12;4825
"Saturday";13;4670
"Saturday";14;4499
"Saturday";15;4260
"Saturday";16;4301
"Saturday";17;4551
"Saturday";18;4244
"Saturday";19;3855
"Saturday";20;3155
"Saturday";21;2555
"Saturday";22;2539
"Saturday";23;2287
"Sunday";0;1886
"Sunday";1;1424
"Sunday";2;1106
"Sunday";3;950
"Sunday";4;720
"Sunday";5;657
"Sunday";6;751
"Sunday";7;879
"Sunday";8;1185
"Sunday";9;1811
"Sunday";10;2706
"Sunday";11;3264
"Sunday";12;4026
"Sunday";13;4078
"Sunday";14;4003
"Sunday";15;3880
"Sunday";16;3730
"Sunday";17;3639
"Sunday";18;3362
"Sunday";19;2947
"Sunday";20;2362
"Sunday";21;1966
"Sunday";22;1609
"Sunday";23;1193
